dataset_id,model_id,balance_accuracy
14,248, 0.5
14,1365, 0.248
57,677, 0.060170305
29,211, 0.223078752
14,391, 0.5945
25,1319, 0.293533333
49,1774, 0.35
50,1738, 0.204
9,265, 0.5
5,813, 0.216850943
26,1228, 0.587402255
48,188, 0.5
9,1625, 0.495624718
20,1572, 0.663129169
41,1731, 0.1902
24,1055, 0.104602163
46,735, 0.589521872
6,671, 0.471382375
55,1449, 0.782316019
48,942, 0.510675927
69,112, 0.510286274
28,879, 0.226364765
56,1633, 0.5
9,435, 0.49772237
38,1624, 0.825
69,446, 0.56910446
55,1468, 0.661409052
38,115, 0.218333333
12,314, 0.5855
14,1491, 0.5
63,1499, 0.113116803
9,1639, 0.514104333
3,1871, 0.140704648
54,1822, 0.239464484
14,1033, 0.5
59,1420, 0.444325482
36,1443, 0.5
51,1026, 0.4108
6,234, 0.922296906
26,1225, 0.500727405
29,870, 0.393292123
34,450, 0.577501635
59,1412, 0.449321913
36,1826, 0.186850133
22,1747, 0.481672239
49,1779, 0.295833333
69,298, 0.525203738
55,1861, 0.155439019
27,462, 0.497826087
28,773, 0.329042352
44,1534, 0.5
69,1369, 0.498020342
11,622, 0.539079602
28,775, 0.236018076
3,1170, 0.144636222
41,1211, 0.214213861
2,277, 0.183407185
11,363, 0.49594942
39,1499, 0.105652182
9,1351, 0.444119258
63,1505, 0.1
14,1044, 0.476
53,1677, 0.298771769
71,171, 0.172509089
48,1278, 0.98965587
12,247, 0.5
36,1007, 0.247183466
19,1709, 0.5004363
12,1646, 0.526
59,1567, 0.506581245
48,755, 0.336185107
63,688, 0.1
13,1273, 0.5
69,297, 0.506429158
36,1440, 0.488721043
37,1008, 0.25
12,108, 0.562
14,316, 0.5
23,350, 0.616503867
59,1094, 0.5
14,311, 0.5015
22,656, 0.492162793
41,1117, 0.103
56,269, 0.4965
24,1061, 0.108296708
50,1734, 0.2
29,857, 0.228881479
53,1079, 0.263897414
38,1480, 0.993333333
31,846, 0.243918204
39,1497, 0.139759494
16,496, 0.333333333
36,1838, 0.433526525
19,1699, 0.498088894
24,1665, 0.09453403
8,879, 0.071428571
7,1359, 0.5005
27,187, 0.560869565
68,88, 0.297492478
33,1149, 0.152412323
21,500, 0.33383462
46,1235, 0.477110885
3,1169, 0.134200167
51,382, 0.991
57,1512, 0.330584696
69,98, 0.524136313
59,1683, 0.467223352
14,108, 0.562
69,1626, 0.496222373
68,78, 0.325719241
18,633, 0.5
43,1462, 0.189926749
59,1416, 0.5
7,1361, 0.509
13,409, 0.654112798
6,246, 0.958885665
7,425, 0.2845
43,1165, 0.219891479
13,1283, 0.5
6,350, 0.527492945
46,1223, 0.631230926
56,1630, 0.5875
63,1514, 0.103347221
9,1808, 0.538511305
40,1687, 0.125
12,1037, 0.4125
2,875, 0.279083903
14,1489, 0.5
12,377, 0.9835
69,1370, 0.495983905
45,1199, 0.262567758
24,1664, 0.1
50,1100, 0.208
14,119, 0.968
24,688, 0.83820286
58,1537, 0.5
4,1277, 0.499738944
68,1784, 0.347749641
55,919, 0.058521406
51,1028, 0.3052
33,1867, 0.144577089
30,814, 0.273938608
38,1369, 0.5
22,238, 0.500074358
55,918, 0.100684791
14,305, 0.625
23,356, 0.447649573
27,1283, 0.5
29,807, 0.263866056
6,361, 0.503224364
59,1695, 0.374375446
6,648, 0.496177235
13,172, 0.5
9,375, 0.4292438
59,1673, 0.172376874
18,648, 0.551250634
71,1461, 0.148430084
29,816, 0.25
41,1722, 0.2
64,1092, 0.341466667
13,185, 0.5
16,513, 0.333333333
51,427, 0.517
59,1681, 0.269450393
33,1851, 0.149129066
7,1028, 0.324
27,452, 0.5
40,1549, 0.141618652
12,1348, 0.505
7,1638, 0.526
22,546, 0.5
8,792, 0.117676768
8,281, 0.120588235
9,1043, 0.472159861
38,116, 0.023333333
38,1634, 0.426666667
18,649, 0.551225283
26,1224, 0.555078196
42,557, 0.554871626
28,783, 0.2
18,543, 0.5
9,305, 0.490459289
3,1168, 0.143793776
13,407, 0.975392625
16,473, 0.333333333
69,382, 0.492013233
53,1082, 0.269077968
44,1617, 0.5
21,482, 0.281496074
56,1627, 0.5
29,842, 0.258218793
20,962, 0.460935921
57,1071, 0.11362394
34,1293, 0.5
18,359, 0.5
27,925, 0.5
50,1113, 0.224
56,260, 0.5
59,1571, 0.501056542
48,928, 0.52034227
69,1622, 0.499010171
12,1366, 0.498
7,1629, 0.54
29,204, 0.255961158
51,297, 0.5024
20,594, 0.711845563
57,694, 0.092371313
14,1046, 0.4295
